Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
R R Constructions and Infrastructure India Private Limited,Short Term Bank Facilities,IVR A3 (Downgraded),Nil,Rs. 66.50 Cr. (Reduced from Rs. 67.00 Cr.),"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-RR-Constructions-5nov24.pdf
Rayalaseema Industries India Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 40.64 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Rayalaseema-Industries-5nov24.pdf
Rayalaseema Industries India Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 0.04 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Rayalaseema-Industries-5nov24.pdf
Sudharma Infratech Private Limited,Long Term Bank Facilities - Working Capital Term Loan,IVR BB+ (Upgraded),Stable,Rs. 2.40 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Sudharma-Infratech-5nov24.pdf
Sudharma Infratech Private Limited,Long Term Bank Facilities - Cash Credit,IVR BB+ (Upgraded),Stable,Rs. 12.60 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Sudharma-Infratech-5nov24.pdf
Sudharma Infratech Private Limited,Short Term Bank Facilities - Bank Guarantee,IVR A4+ (Upgraded),Nil,Rs. 30.00 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Sudharma-Infratech-5nov24.pdf
Velji Ratna Sorathia Infra Private Limited,Long Term Bank Facilities,IVR A- (Upgraded),Stable,Rs. 120.00 Cr. (includes proposed facility of Rs. 2.50 crore),"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Velji-Ratna-5nov24.pdf
Velji Ratna Sorathia Infra Private Limited,Short Term Bank Facilities,IVR A2+ (Upgraded),Nil,Rs. 230.00 Cr. (includes proposed facility of Rs. 30.00 crore),"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Velji-Ratna-5nov24.pdf
Aryann Chemical Trading Private Limited,Long Term Facilities,IVR BBB- (Upgraded),Stable,Rs. 85.00 Cr. (Increased from Rs.45.00 crore),"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Aryann-ChemicalTrading-4nov24.pdf
Aryann Chemical Trading Private Limited,Short Term Facilities,IVR A3 (Upgraded),Nil,Rs. 213.05 Cr. (Increased from Rs.136.50 crore),"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Aryann-ChemicalTrading-4nov24.pdf
Aryann Chemical Trading Private Limited,Long/Short Term Facilities,IVR BBB-/IVR A3; (Upgraded),Stable,Rs. 5.00 Cr. (Decreased from Rs.18.50 crore),"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Aryann-ChemicalTrading-4nov24.pdf
D J Agro Industrial Project Private Limited,Long Term Bank Facilities,IVR B (INC)(Downgraded),Negative,Rs. 91.77 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-DJ-Agro-4nov24.pdf
Kunjir Bioenergy India LLP,Long Term Bank Facilities - Term Loan I,IVR BBB- (Reaffirmed),Stable,Rs. 38.98 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Kunjir-Bioenergy-4nov24.pdf
Kunjir Bioenergy India LLP,Long Term Bank Facilities - Term Loan II,IVR BBB- (Assigned),Stable,Rs. 48.85 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Kunjir-Bioenergy-4nov24.pdf
Kunjir Bioenergy India LLP,Long Term Bank Facilities - UGECL 1.0,Withdrawn,Nil,0.00,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Kunjir-Bioenergy-4nov24.pdf
